label,value
"GYE - Guayaquil, Ecuador (Ecuador)",GYE
"HAJ - Hannover, Germany (Germany)",HAJ
"HAM - Hamburg, Germany (Germany)",HAM
"HAN - Hanoi, Soc. Rep. Of Vietnam (Vietnam)",HAN
"HDN - Steamboat Springs, Colorado, Us (United States)",HDN
"HEL - Helsinki, Finland (Finland)",HEL
"HGH - Hangzhou, China (China)",HGH
"HHH - Hilton Head Island, Sc, USA (United States)",HHH
"HIB - Chisholm/Hibbing, Minnesota, Us (United States)",HIB
"HKD - Hakodate, Japan (Japan)",HKD
"HKG - Hong Kong, Hong Kong (Hong Kong-China)",HKG
"HLN - Helena, Montana, USA (United States)",HLN
"HMO - Hermosillo, Mexico (Mexico)",HMO
"HNL - Honolulu, Oahu, Hawaii, USA (United States)",HNL
"HOU - Houston, Texas, USA (United States)",HOU
"HPN - White Plains, New York, USA (United States)",HPN
"HRB - Harbin, Manchuria, China (China)",HRB
"HRL - Harlingen, Texas, USA (United States)",HRL
"HSV - Huntsville/Decatur, Alabama, Us (United States)",HSV
"HTS - Ashland,Ky/Huntington, Wv, USA (United States)",HTS
"HUY - Humberside, England, (U.K.) (United Kingdom)",HUY
"IAD - Washington, D.C., USA (United States)",IAD
"IAH - Houston, Texas, USA (United States)",IAH
"ICN - Seoul, South Korea (Korea)",ICN
"ICT - Wichita, Kansas, USA (United States)",ICT
"IDA - Idaho Falls, Idaho, USA (United States)",IDA
"ILM - Wilmington, North Carolina, USA (United States)",ILM
"IMT - Iron Mountain, Michigan, USA (United States)",IMT
"IND - Indianapolis, Indiana, USA (United States)",IND
"INL - International Falls, Minnesota, (United States)",INL
"IST - Istanbul, Turkey (Turkey)",IST
"ITH - Ithaca, New York, USA (United States)",ITH
"JAC - Jackson, Wyoming, USA (United States)",JAC
"JAN - Jackson/Vicksburg, Mississippi, (United States)",JAN
"JAX - Jacksonville, Florida, USA (United States)",JAX
"JFK - New York, New York, USA (United States)",JFK
"JMS - Jamestown, North Dakota, USA (United States)",JMS
"JNB - Johannesburg, South Africa (Republic Of South Africa And Transkei)",JNB
"JNU - Juneau, Alaska, USA (United States)",JNU
"JRB - New York, New York, USA (United States)",JRB
"JRO - Kilimanjaro, Tanzania (Tanzania)",JRO
"KAN - Kano, Nigeria (Nigeria)",KAN
"KBP - Kiev, Ukraine (Ukraine)",KBP
"KIJ - Niigata, Japan (Japan)",KIJ
"KIN - Kingston, Jamaica (Jamaica)",KIN
"KIX - Osaka, Japan (Japan)",KIX
"KMG - Kunming, China (China)",KMG
"KMQ - Komatsu, Japan (Japan)",KMQ
"KOA - Kona, Hawaii, Hawaii, USA (United States)",KOA
"KOJ - Kagoshima, Japan (Japan)",KOJ
"KRK - Krakow, Poland (Poland)",KRK
"KRS - Kristiansand, S. Norway (Norway)",KRS
"KRT - Khartoum, Sudan (Sudan)",KRT
"KSC - Kosice, Slovakia (Slovakia)",KSC
"KTN - Ketchikan, Alaska, USA (United States)",KTN
"KUL - Kuala Lumpur, Malaysia (Malaysia)",KUL
"KWI - Kuwait, Kuwait (Kuwait)",KWI
"LAN - Lansing, Michigan, USA (United States)",LAN
"LAS - Las Vegas, Nevada, USA (United States)",LAS
"LAX - Los Angeles, California, USA (United States)",LAX
"LBA - Leeds/Bradford, England, (U.K.) (United Kingdom)",LBA
"LBB - Lubbock, Texas, USA (United States)",LBB
"LBE - Latrobe, Pennsylvania, USA (United States)",LBE
"LBV - Libreville, Gabon (Gabon)",LBV
"LCA - Larnaca, Cyprus (Cyprus)",LCA
"LEJ - Leipzig, Germany (Germany)",LEJ
